,EmpId,Age,DistanceFromHome,Education,EducationField,Gender,MaritalStatus,Attrition,Department_x,StandardHours_x,HourlyRate,MonthlyIncome,PercentSalaryHike,StockOptionLevel,BusinessTravel,Department_y,JobLevel,JobRole,JobSatisfaction,NumCompaniesWorked,PerformanceRating,StandardHours_y,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,OverTime,Age_group,Income_group
397,100392,40,2,3,Medical,Female,Married,No,Research & Development,200,17.0,3448,22,1,Travel_Rarely,Research & Development,2,Laboratory Technician,3,6,4,200,20,3,3,1,0,0,0,No,35-44,2001-4000
398,100393,54,5,2,Medical,Male,Married,No,Research & Development,200,97.0,19406,11,1,Travel_Rarely,Research & Development,5,Research Director,1,4,3,200,24,4,2,4,2,1,2,No,45-54,>15000
399,100394,34,4,4,Marketing,Female,Married,No,Sales,200,33.0,6538,15,1,Non-Travel,Sales,2,Sales Executive,3,9,3,200,6,3,3,3,2,1,2,No,25-34,6001-8000
400,100395,31,7,2,Medical,Female,Married,No,Research & Development,200,22.0,4306,12,1,Travel_Rarely,Research & Development,2,Manufacturing Director,1,1,1,200,13,5,1,13,10,3,12,No,25-34,4001-6000
401,100396,43,21,3,Medical,Male,Married,No,Research & Development,200,11.0,2258,20,1,Travel_Frequently,Research & Development,1,Laboratory Technician,4,7,4,200,8,1,3,3,2,1,2,No,35-44,2001-4000
402,100397,43,8,4,Other,Female,Divorced,No,Research & Development,200,23.0,4522,14,0,Travel_Rarely,Research & Development,2,Healthcare Representative,3,4,3,200,8,3,3,5,2,0,2,Yes,35-44,4001-6000
403,100398,25,4,2,Life Sciences,Female,Single,No,Sales,200,22.0,4487,11,0,Travel_Rarely,Sales,2,Sales Executive,4,1,3,200,5,3,3,5,4,1,3,Yes,25-34,4001-6000
404,100399,37,25,5,Medical,Female,Married,No,Research & Development,200,22.0,4449,15,2,Non-Travel,Research & Development,2,Research Scientist,3,3,3,200,15,2,3,13,11,10,7,Yes,35-44,4001-6000
405,100400,31,1,2,Life Sciences,Male,Married,No,Research & Development,200,11.0,2218,12,1,Travel_Rarely,Research & Development,1,Laboratory Technician,1,1,3,200,4,3,3,4,2,3,2,No,25-34,2001-4000
406,100401,39,1,1,Life Sciences,Male,Divorced,No,Research & Development,200,96.0,19197,14,1,Travel_Frequently,Research & Development,5,Manager,3,1,3,200,21,3,3,21,8,1,6,Yes,35-44,>15000
407,100402,56,6,3,Life Sciences,Female,Married,No,Sales,200,66.0,13212,11,3,Travel_Frequently,Sales,4,Sales Executive,1,9,1,200,36,0,2,7,7,7,7,No,55-60,12001-15000
408,100403,30,12,3,Technical Degree,Female,Single,No,Sales,200,33.0,6577,11,0,Travel_Rarely,Sales,2,Sales Executive,3,0,3,200,6,6,3,5,4,4,4,No,25-34,6001-8000
409,100404,41,1,3,Marketing,Male,Married,No,Sales,200,42.0,8392,16,1,Travel_Rarely,Sales,3,Sales Executive,1,1,3,200,10,2,3,10,7,0,7,No,35-44,8001-12000
410,100405,28,17,2,Medical,Male,Divorced,No,Research & Development,200,23.0,4558,12,1,Travel_Rarely,Research & Development,2,Laboratory Technician,1,1,3,200,10,2,3,10,0,1,8,No,25-34,4001-6000
411,100406,25,3,3,Medical,Male,Married,Yes,Research & Development,200,20.0,4031,13,1,Travel_Rarely,Research & Development,1,Laboratory Technician,1,5,3,200,6,5,3,2,2,0,2,No,25-34,4001-6000
412,100407,52,3,3,Medical,Male,Married,No,Research & Development,200,40.0,7969,14,0,Travel_Rarely,Research & Development,3,Manufacturing Director,3,2,3,200,28,4,3,5,4,0,4,Yes,45-54,6001-8000
413,100408,45,10,2,Life Sciences,Male,Married,No,Research & Development,200,13.0,2654,21,2,Travel_Rarely,Research & Development,1,Research Scientist,4,3,4,200,8,3,2,2,2,0,2,No,45-54,2001-4000
414,100409,52,4,2,Life Sciences,Female,Married,No,Research & Development,200,83.0,16555,13,0,Travel_Rarely,Research & Development,4,Manager,4,2,3,200,31,2,1,5,2,1,4,No,45-54,>15000
415,100410,42,29,2,Life Sciences,Female,Divorced,No,Research & Development,200,23.0,4556,11,1,Travel_Frequently,Research & Development,2,Research Scientist,3,2,3,200,19,3,3,5,4,0,2,No,35-44,4001-6000
416,100411,30,2,3,Life Sciences,Female,Single,No,Research & Development,200,30.0,6091,20,0,Travel_Rarely,Research & Development,2,Manufacturing Director,4,2,4,200,11,2,3,5,4,0,2,No,25-34,6001-8000
417,100412,60,7,3,Life Sciences,Female,Married,No,Research & Development,200,98.0,19566,11,0,Travel_Rarely,Research & Development,5,Manager,1,5,3,200,33,5,1,29,8,11,10,No,55-60,>15000
418,100413,46,18,3,Medical,Female,Divorced,No,Research & Development,200,24.0,4810,14,1,Travel_Rarely,Research & Development,2,Manufacturing Director,3,2,3,200,19,5,2,10,7,0,8,No,45-54,4001-6000
419,100414,42,28,4,Technical Degree,Female,Married,No,Research & Development,200,23.0,4523,11,3,Travel_Frequently,Research & Development,2,Healthcare Representative,4,0,3,200,7,4,4,6,5,0,4,No,35-44,4001-6000
420,100415,24,1,1,Technical Degree,Female,Single,Yes,Sales,200,16.0,3202,16,0,Travel_Rarely,Sales,1,Sales Representative,2,1,3,200,6,4,3,5,3,1,4,Yes,18-24,2001-4000
421,100416,34,6,2,Marketing,Female,Divorced,Yes,Sales,200,12.0,2351,16,1,Travel_Frequently,Sales,1,Sales Representative,3,0,3,200,3,3,2,2,2,1,0,No,25-34,2001-4000
422,100417,38,2,2,Life Sciences,Male,Married,No,Research & Development,200,9.0,1702,23,1,Travel_Frequently,Research & Development,1,Laboratory Technician,4,1,4,200,1,3,3,1,0,0,0,Yes,35-44,1000-2000
423,100418,40,2,4,Life Sciences,Female,Married,No,Sales,200,90.0,18041,14,0,Travel_Rarely,Sales,5,Manager,3,0,3,200,21,2,3,20,15,1,12,No,35-44,>15000
424,100419,26,23,3,Life Sciences,Female,Divorced,No,Research & Development,200,14.0,2886,22,2,Travel_Rarely,Research & Development,1,Research Scientist,4,1,4,200,3,3,1,3,2,0,2,No,25-34,2001-4000
425,100420,30,3,3,Life Sciences,Male,Married,No,Research & Development,200,10.0,2097,15,1,Non-Travel,Research & Development,1,Laboratory Technician,4,4,3,200,9,3,1,5,3,1,4,No,25-34,2001-4000
426,100421,29,3,4,Medical,Male,Married,No,Research & Development,200,60.0,11935,18,0,Travel_Rarely,Research & Development,3,Research Director,3,1,3,200,10,2,3,10,2,0,7,No,25-34,8001-12000
427,100422,29,25,5,Technical Degree,Female,Married,Yes,Research & Development,200,13.0,2546,16,0,Travel_Rarely,Research & Development,1,Research Scientist,2,5,3,200,6,2,4,2,2,1,1,No,25-34,2001-4000
428,100423,19,2,2,Technical Degree,Male,Single,Yes,Human Resources,200,13.0,2564,12,0,Travel_Rarely,Human Resources,1,Human Resources,4,1,3,200,1,3,4,1,0,0,0,No,18-24,2001-4000
429,100424,30,22,4,Other,Female,Married,No,Sales,200,42.0,8412,11,0,Non-Travel,Sales,3,Sales Executive,1,0,1,200,10,3,3,9,8,7,8,No,25-34,8001-12000
430,100425,57,29,3,Marketing,Male,Divorced,No,Sales,200,71.0,14118,12,1,Travel_Rarely,Sales,4,Manager,4,3,3,200,32,3,2,1,0,0,0,No,55-60,12001-15000
431,100426,50,29,4,Life Sciences,Male,Married,No,Research & Development,200,85.0,17046,15,1,Travel_Rarely,Research & Development,4,Manager,3,0,3,200,28,2,3,27,10,15,7,No,45-54,>15000
432,100427,30,2,3,Medical,Female,Single,No,Research & Development,200,13.0,2564,14,0,Non-Travel,Research & Development,1,Laboratory Technician,4,0,3,200,12,2,2,11,7,6,7,No,25-34,2001-4000
433,100428,60,28,3,Marketing,Female,Married,No,Sales,200,51.0,10266,19,0,Travel_Frequently,Sales,3,Sales Executive,1,4,3,200,22,5,4,18,13,13,11,No,55-60,8001-12000
434,100429,47,2,2,Medical,Female,Divorced,No,Research & Development,200,25.0,5070,13,3,Travel_Rarely,Research & Development,2,Manufacturing Director,4,5,3,200,20,2,3,5,0,0,4,No,45-54,4001-6000
435,100430,46,2,3,Life Sciences,Male,Married,No,Research & Development,200,89.0,17861,13,0,Travel_Rarely,Research & Development,4,Research Director,3,6,3,200,26,2,1,3,2,0,1,No,45-54,>15000
436,100431,35,22,3,Life Sciences,Male,Single,No,Research & Development,200,21.0,4230,15,0,Travel_Rarely,Research & Development,1,Laboratory Technician,3,0,3,200,6,2,3,5,4,4,3,No,35-44,4001-6000
437,100432,54,8,4,Life Sciences,Female,Single,No,Research & Development,200,19.0,3780,11,0,Travel_Rarely,Research & Development,2,Laboratory Technician,3,7,3,200,19,3,3,1,0,0,0,No,45-54,2001-4000
438,100433,34,2,4,Life Sciences,Male,Divorced,No,Research & Development,200,14.0,2768,12,1,Travel_Rarely,Research & Development,1,Research Scientist,3,3,3,200,14,3,3,7,3,5,7,No,25-34,2001-4000
439,100434,46,10,3,Marketing,Female,Married,No,Sales,200,45.0,9071,19,1,Travel_Rarely,Sales,3,Sales Executive,4,2,3,200,15,3,3,3,2,1,2,Yes,45-54,8001-12000
440,100435,31,9,1,Life Sciences,Male,Divorced,No,Research & Development,200,53.0,10648,25,1,Travel_Rarely,Research & Development,3,Manufacturing Director,2,1,4,200,13,6,4,13,8,0,8,No,25-34,8001-12000
441,100436,33,15,1,Medical,Male,Married,Yes,Research & Development,200,68.0,13610,12,0,Travel_Rarely,Research & Development,3,Manager,3,7,3,200,15,2,4,7,6,7,7,Yes,25-34,12001-15000
442,100437,33,10,1,Medical,Male,Divorced,Yes,Research & Development,200,17.0,3408,13,3,Travel_Rarely,Research & Development,1,Laboratory Technician,4,7,3,200,8,2,3,4,3,1,3,No,25-34,2001-4000
443,100438,30,7,1,Marketing,Male,Single,No,Sales,200,15.0,2983,14,0,Travel_Rarely,Sales,1,Sales Representative,2,0,2,200,4,3,3,3,2,1,2,No,25-34,2001-4000
444,100439,35,16,3,Life Sciences,Male,Married,No,Research & Development,200,38.0,7632,12,0,Travel_Rarely,Research & Development,3,Healthcare Representative,3,4,3,200,10,2,3,8,7,0,0,Yes,35-44,6001-8000
445,100440,31,20,3,Life Sciences,Male,Married,Yes,Research & Development,200,49.0,9824,12,0,Travel_Frequently,Research & Development,3,Healthcare Representative,3,3,3,200,12,2,3,1,0,0,0,No,25-34,8001-12000
446,100441,34,23,3,Human Resources,Female,Divorced,Yes,Human Resources,200,50.0,9950,15,3,Travel_Frequently,Human Resources,3,Human Resources,1,9,3,200,11,2,3,3,2,0,2,Yes,25-34,8001-12000
447,100442,42,5,2,Other,Male,Married,No,Research & Development,200,10.0,2093,17,1,Travel_Frequently,Research & Development,1,Laboratory Technician,3,4,3,200,8,4,3,2,2,2,0,No,35-44,2001-4000
448,100443,36,10,4,Medical,Male,Single,No,Sales,200,50.0,9980,14,0,Non-Travel,Sales,3,Sales Executive,4,1,3,200,10,3,2,10,3,9,7,No,35-44,8001-12000
449,100444,22,4,1,Technical Degree,Male,Single,Yes,Research & Development,200,19.0,3894,16,0,Travel_Frequently,Research & Development,1,Laboratory Technician,3,5,3,200,4,3,3,2,2,1,2,No,18-24,2001-4000
450,100445,48,2,5,Marketing,Female,Married,No,Sales,200,20.0,4051,14,1,Travel_Rarely,Sales,2,Sales Executive,4,2,3,200,14,2,3,9,7,6,7,No,45-54,4001-6000
451,100446,55,18,5,Life Sciences,Female,Single,No,Sales,200,84.0,16835,23,0,Travel_Rarely,Sales,4,Manager,2,3,4,200,37,2,3,10,9,7,7,No,55-60,>15000
452,100447,41,10,2,Life Sciences,Male,Single,No,Sales,200,31.0,6230,14,0,Non-Travel,Sales,2,Sales Executive,4,7,3,200,16,3,3,14,3,1,10,No,35-44,6001-8000
453,100448,35,1,3,Marketing,Male,Married,No,Sales,200,24.0,4717,11,0,Travel_Rarely,Sales,2,Sales Executive,3,9,3,200,15,2,3,11,9,6,9,No,35-44,4001-6000
454,100449,40,6,3,Life Sciences,Female,Single,No,Research & Development,200,66.0,13237,15,0,Travel_Rarely,Research & Development,4,Manufacturing Director,3,7,3,200,22,3,3,20,6,5,13,No,35-44,12001-15000
455,100450,39,8,1,Life Sciences,Female,Married,No,Research & Development,200,19.0,3755,11,1,Travel_Frequently,Research & Development,1,Laboratory Technician,3,1,3,200,8,3,3,8,3,0,7,No,35-44,2001-4000
456,100451,31,2,1,Life Sciences,Male,Single,No,Sales,200,33.0,6582,13,0,Travel_Rarely,Sales,2,Sales Executive,4,4,3,200,10,2,4,6,5,0,5,Yes,25-34,6001-8000
457,100452,42,24,3,Medical,Male,Married,No,Research & Development,200,37.0,7406,21,1,Travel_Rarely,Research & Development,3,Manufacturing Director,1,1,1,200,10,5,2,10,9,5,8,Yes,35-44,6001-8000
458,100453,45,2,3,Other,Male,Married,No,Sales,200,24.0,4805,19,1,Travel_Rarely,Sales,2,Sales Executive,2,0,3,200,9,3,4,8,7,3,7,No,45-54,4001-6000
459,100454,26,17,4,Life Sciences,Female,Divorced,Yes,Human Resources,200,14.0,2741,11,1,Travel_Frequently,Human Resources,1,Human Resources,3,0,3,200,8,2,2,7,7,1,0,Yes,25-34,2001-4000
460,100455,29,19,3,Technical Degree,Male,Divorced,No,Research & Development,200,21.0,4262,12,2,Travel_Rarely,Research & Development,2,Manufacturing Director,4,4,3,200,8,2,4,3,2,1,2,No,25-34,4001-6000
461,100456,33,1,5,Medical,Female,Divorced,No,Research & Development,200,81.0,16184,19,1,Travel_Rarely,Research & Development,4,Research Director,3,4,3,200,10,2,3,6,1,0,5,No,25-34,>15000
462,100457,31,7,3,Life Sciences,Male,Divorced,No,Sales,200,58.0,11557,21,1,Travel_Rarely,Sales,3,Manager,4,9,4,200,10,3,2,5,4,0,1,No,25-34,8001-12000
463,100458,18,5,3,Marketing,Male,Single,Yes,Sales,200,9.0,1878,14,0,Travel_Frequently,Sales,1,Sales Representative,2,1,2,200,0,3,3,0,0,0,0,Yes,18-24,1000-2000
464,100459,40,28,3,Other,Male,Divorced,No,Sales,200,55.0,10932,15,1,Non-Travel,Sales,3,Sales Executive,1,3,3,200,20,2,3,1,0,0,1,No,35-44,8001-12000
465,100460,41,2,4,Other,Female,Single,No,Research & Development,200,34.0,6811,17,0,Non-Travel,Research & Development,2,Healthcare Representative,3,2,3,200,10,3,3,8,7,0,7,Yes,35-44,6001-8000
466,100461,26,29,2,Medical,Male,Divorced,No,Sales,200,22.0,4306,12,2,Travel_Rarely,Sales,2,Sales Executive,3,5,3,200,8,5,3,0,0,0,0,No,25-34,4001-6000
467,100462,35,1,3,Medical,Female,Single,No,Sales,200,24.0,4859,16,0,Travel_Rarely,Sales,2,Sales Executive,3,1,3,200,5,3,3,5,4,0,3,No,35-44,4001-6000
468,100463,34,21,4,Life Sciences,Male,Single,No,Sales,200,27.0,5337,12,0,Travel_Rarely,Sales,2,Sales Executive,4,1,3,200,10,3,3,10,7,5,7,No,25-34,4001-6000
469,100464,26,24,3,Technical Degree,Male,Single,Yes,Research & Development,200,12.0,2340,18,0,Travel_Rarely,Research & Development,1,Laboratory Technician,4,1,3,200,1,3,1,1,0,0,0,Yes,25-34,2001-4000
470,100465,37,1,3,Technical Degree,Female,Single,No,Research & Development,200,37.0,7491,17,0,Travel_Rarely,Research & Development,3,Manufacturing Director,4,4,3,200,12,3,4,6,5,1,2,No,35-44,6001-8000
471,100466,46,18,1,Medical,Female,Married,No,Research & Development,200,53.0,10527,11,0,Travel_Frequently,Research & Development,3,Healthcare Representative,3,5,3,200,28,3,2,2,2,1,2,No,45-54,8001-12000
472,100467,41,2,5,Life Sciences,Female,Married,No,Sales,200,83.0,16595,16,1,Travel_Rarely,Sales,4,Manager,1,7,3,200,22,2,3,18,16,11,8,No,35-44,>15000
473,100468,37,9,4,Medical,Male,Divorced,No,Sales,200,44.0,8834,13,1,Non-Travel,Sales,3,Sales Executive,2,1,3,200,9,6,3,9,5,7,7,No,35-44,8001-12000
474,100469,52,6,2,Technical Degree,Male,Divorced,No,Research & Development,200,28.0,5577,12,2,Travel_Rarely,Research & Development,2,Research Scientist,1,3,3,200,18,3,3,10,9,6,9,Yes,45-54,4001-6000
475,100470,32,11,4,Other,Male,Married,Yes,Sales,200,24.0,4707,12,0,Non-Travel,Sales,2,Sales Executive,3,8,3,200,6,2,3,4,2,1,2,No,25-34,4001-6000
476,100471,24,24,3,Medical,Male,Married,No,Sales,200,12.0,2400,13,2,Travel_Frequently,Sales,1,Sales Representative,4,0,3,200,3,3,3,2,2,2,1,No,18-24,2001-4000
477,100472,38,10,3,Medical,Female,Married,No,Research & Development,200,49.0,9824,19,1,Travel_Rarely,Research & Development,2,Healthcare Representative,3,3,3,200,18,4,3,1,0,0,0,No,35-44,8001-12000
478,100473,37,1,4,Life Sciences,Female,Married,No,Research & Development,200,32.0,6447,12,1,Travel_Rarely,Research & Development,2,Manufacturing Director,2,6,1,200,8,2,2,6,5,4,3,No,35-44,6001-8000
479,100474,49,18,4,Life Sciences,Male,Divorced,No,Research & Development,200,98.0,19502,17,1,Travel_Rarely,Research & Development,5,Research Director,3,1,3,200,31,5,3,31,9,0,9,Yes,45-54,>15000
480,100475,24,23,3,Medical,Male,Married,No,Research & Development,200,14.0,2725,11,2,Travel_Rarely,Research & Development,1,Research Scientist,4,1,3,200,6,3,3,6,5,1,4,Yes,18-24,2001-4000
481,100476,26,28,2,Marketing,Male,Married,No,Sales,200,31.0,6272,20,2,Travel_Rarely,Sales,2,Sales Executive,2,1,4,200,6,5,4,5,3,1,4,No,25-34,6001-8000
482,100477,24,17,2,Other,Male,Married,No,Research & Development,200,11.0,2127,21,1,Travel_Rarely,Research & Development,1,Laboratory Technician,2,1,4,200,1,2,3,1,0,0,0,No,18-24,2001-4000
483,100478,50,3,3,Medical,Male,Married,No,Human Resources,200,91.0,18200,11,1,Travel_Frequently,Human Resources,5,Manager,2,1,3,200,32,2,3,32,5,10,7,No,45-54,>15000
484,100479,25,13,1,Medical,Male,Married,No,Sales,200,10.0,2096,11,0,Travel_Rarely,Sales,1,Sales Representative,3,1,3,200,7,1,3,7,4,0,6,No,25-34,2001-4000
485,100480,24,7,3,Life Sciences,Female,Married,Yes,Research & Development,200,14.0,2886,16,1,Travel_Frequently,Research & Development,1,Laboratory Technician,3,1,3,200,6,4,3,6,3,1,2,Yes,18-24,2001-4000
486,100481,30,12,4,Life Sciences,Male,Married,Yes,Sales,200,10.0,2033,18,1,Travel_Frequently,Sales,1,Sales Representative,1,1,3,200,1,2,4,1,0,0,0,No,25-34,2001-4000
487,100482,34,1,2,Life Sciences,Male,Married,No,Research & Development,200,18.0,3622,13,1,Travel_Rarely,Research & Development,1,Research Scientist,4,1,3,200,6,3,3,6,5,1,3,Yes,25-34,2001-4000
488,100483,31,13,4,Medical,Male,Divorced,Yes,Sales,200,21.0,4233,17,0,Travel_Rarely,Sales,2,Sales Executive,1,2,3,200,9,2,1,3,1,1,2,No,25-34,4001-6000
489,100484,35,25,2,Other,Male,Single,No,Research & Development,200,18.0,3681,14,0,Travel_Rarely,Research & Development,2,Laboratory Technician,4,4,3,200,9,3,3,3,2,0,2,No,35-44,2001-4000
490,100485,31,6,4,Medical,Male,Divorced,No,Sales,200,27.0,5460,22,2,Travel_Rarely,Sales,2,Sales Executive,4,4,4,200,13,4,4,7,7,5,7,No,25-34,4001-6000
491,100486,27,6,4,Medical,Female,Divorced,No,Research & Development,200,11.0,2187,12,2,Travel_Rarely,Research & Development,1,Research Scientist,3,0,3,200,6,5,2,5,3,0,3,No,25-34,2001-4000
492,100487,37,2,3,Marketing,Male,Married,No,Sales,200,48.0,9602,11,1,Travel_Rarely,Sales,2,Sales Executive,3,4,3,200,17,3,2,3,0,1,0,Yes,35-44,8001-12000
493,100488,20,1,3,Life Sciences,Female,Single,No,Research & Development,200,14.0,2836,13,0,Travel_Rarely,Research & Development,1,Research Scientist,2,1,1,200,1,0,4,1,0,0,0,No,18-24,2001-4000
494,100489,42,2,4,Life Sciences,Female,Married,No,Research & Development,200,20.0,4089,13,2,Travel_Rarely,Research & Development,2,Healthcare Representative,4,1,3,200,10,4,3,10,2,2,2,No,35-44,4001-6000
495,100490,43,6,4,Other,Male,Divorced,No,Research & Development,200,83.0,16627,14,1,Travel_Rarely,Research & Development,4,Research Director,4,4,3,200,21,3,2,1,0,0,0,Yes,35-44,>15000
496,100491,38,1,1,Life Sciences,Female,Single,No,Research & Development,200,13.0,2619,17,0,Travel_Rarely,Research & Development,1,Research Scientist,1,3,3,200,8,3,2,0,0,0,0,No,35-44,2001-4000
497,100492,43,9,5,Medical,Male,Divorced,No,Research & Development,200,28.0,5679,13,1,Travel_Frequently,Research & Development,2,Laboratory Technician,3,3,3,200,10,3,3,8,7,4,7,Yes,35-44,4001-6000
498,100493,48,1,4,Life Sciences,Female,Married,No,Research & Development,200,77.0,15402,11,1,Travel_Rarely,Research & Development,4,Manager,1,7,3,200,21,3,1,3,2,0,2,No,45-54,>15000
499,100494,44,1,4,Life Sciences,Female,Single,No,Human Resources,200,30.0,5985,11,0,Travel_Rarely,Human Resources,2,Human Resources,3,4,3,200,10,1,4,2,2,0,2,No,35-44,4001-6000
500,100495,34,14,3,Technical Degree,Female,Divorced,No,Sales,200,13.0,2579,18,2,Travel_Rarely,Sales,1,Sales Representative,3,1,3,200,8,3,3,8,2,0,6,Yes,25-34,2001-4000
501,100496,27,2,1,Marketing,Male,Divorced,Yes,Sales,200,15.0,3041,11,1,Travel_Rarely,Sales,1,Sales Representative,1,0,3,200,5,3,3,4,3,0,2,No,25-34,2001-4000
502,100497,21,22,1,Technical Degree,Male,Single,No,Sales,200,17.0,3447,11,0,Travel_Rarely,Sales,1,Sales Representative,3,1,3,200,3,2,3,3,2,1,2,No,18-24,2001-4000
503,100498,44,3,4,Other,Male,Married,No,Research & Development,200,98.0,19513,12,1,Travel_Rarely,Research & Development,5,Manager,4,4,3,200,26,2,4,2,2,0,1,Yes,35-44,>15000
504,100499,22,6,1,Medical,Male,Married,No,Research & Development,200,14.0,2773,20,0,Travel_Rarely,Research & Development,1,Research Scientist,3,0,4,200,3,3,3,2,2,2,2,No,18-24,2001-4000
505,100500,33,8,4,Marketing,Male,Divorced,No,Sales,200,36.0,7104,12,0,Travel_Rarely,Sales,2,Sales Executive,3,0,3,200,6,3,3,5,0,1,2,No,25-34,6001-8000
506,100501,32,9,4,Life Sciences,Female,Married,No,Research & Development,200,32.0,6322,12,1,Travel_Rarely,Research & Development,2,Research Scientist,4,1,3,200,6,2,2,6,4,0,5,Yes,25-34,6001-8000
507,100502,30,3,3,Medical,Female,Divorced,No,Research & Development,200,10.0,2083,20,1,Travel_Frequently,Research & Development,1,Research Scientist,3,1,4,200,1,2,3,1,0,0,0,No,25-34,2001-4000
508,100503,53,1,1,Medical,Female,Single,No,Sales,200,42.0,8381,20,0,Travel_Rarely,Sales,2,Sales Executive,1,7,4,200,18,2,4,14,7,8,10,No,45-54,8001-12000
509,100504,34,1,5,Life Sciences,Male,Married,No,Research & Development,200,13.0,2691,12,1,Travel_Rarely,Research & Development,1,Research Scientist,4,1,3,200,10,4,2,10,9,8,8,No,25-34,2001-4000
510,100505,45,26,4,Life Sciences,Female,Married,Yes,Sales,200,21.0,4286,14,2,Travel_Frequently,Sales,2,Sales Executive,1,2,3,200,5,4,3,1,1,0,0,No,45-54,4001-6000
511,100506,26,6,3,Life Sciences,Female,Married,No,Research & Development,200,13.0,2659,13,1,Travel_Rarely,Research & Development,1,Laboratory Technician,4,1,3,200,3,2,3,3,2,0,2,Yes,25-34,2001-4000
512,100507,37,3,3,Other,Male,Married,No,Research & Development,200,47.0,9434,15,1,Travel_Rarely,Research & Development,3,Manufacturing Director,3,1,3,200,10,2,3,10,7,7,8,No,35-44,8001-12000
513,100508,29,3,2,Medical,Female,Married,No,Sales,200,28.0,5561,14,1,Travel_Rarely,Sales,2,Sales Executive,3,1,3,200,6,5,2,6,0,1,2,No,25-34,4001-6000
514,100509,35,6,4,Life Sciences,Male,Single,No,Research & Development,200,33.0,6646,13,0,Travel_Rarely,Research & Development,2,Research Scientist,4,1,3,200,17,3,3,17,11,11,8,No,35-44,6001-8000
515,100510,33,6,3,Life Sciences,Male,Divorced,No,Research & Development,200,39.0,7725,23,1,Travel_Frequently,Research & Development,2,Healthcare Representative,4,3,4,200,15,2,1,13,11,4,7,No,25-34,6001-8000
516,100511,54,19,4,Medical,Male,Married,No,Human Resources,200,54.0,10725,15,1,Travel_Rarely,Human Resources,3,Human Resources,2,2,3,200,16,1,4,9,7,7,1,No,45-54,8001-12000
517,100512,36,9,2,Medical,Male,Divorced,No,Research & Development,200,44.0,8847,11,1,Travel_Rarely,Research & Development,2,Manufacturing Director,2,2,3,200,13,2,3,3,2,0,2,Yes,35-44,8001-12000
518,100513,27,3,4,Medical,Male,Single,No,Research & Development,200,10.0,2045,13,0,Travel_Rarely,Research & Development,1,Research Scientist,4,0,3,200,5,0,3,4,2,1,1,No,25-34,2001-4000
519,100514,20,10,1,Medical,Male,Single,Yes,Research & Development,200,5.0,1009,11,0,Travel_Rarely,Research & Development,1,Research Scientist,3,1,3,200,1,5,3,1,0,1,1,Yes,18-24,1000-2000
520,100515,33,3,3,Life Sciences,Male,Single,Yes,Research & Development,200,17.0,3348,11,0,Travel_Frequently,Research & Development,1,Research Scientist,1,1,1,200,10,3,3,10,8,9,7,Yes,25-34,2001-4000
521,100516,35,3,3,Life Sciences,Male,Married,No,Research & Development,200,6.0,1281,18,2,Non-Travel,Research & Development,1,Laboratory Technician,3,1,3,200,1,3,3,1,0,0,0,No,35-44,1000-2000
522,100517,23,4,3,Medical,Male,Married,No,Research & Development,200,14.0,2819,16,1,Travel_Rarely,Research & Development,1,Research Scientist,1,2,3,200,5,3,4,3,2,0,2,No,18-24,2001-4000
523,100518,25,8,3,Life Sciences,Male,Married,No,Sales,200,24.0,4851,22,1,Travel_Rarely,Sales,2,Sales Executive,2,0,4,200,4,4,3,3,2,1,2,No,25-34,4001-6000
524,100519,38,7,4,Marketing,Female,Single,No,Sales,200,20.0,4028,20,0,Travel_Rarely,Sales,2,Sales Executive,4,0,4,200,8,2,3,7,7,0,5,No,35-44,4001-6000
525,100520,29,1,4,Life Sciences,Male,Divorced,No,Research & Development,200,14.0,2720,18,1,Travel_Frequently,Research & Development,1,Research Scientist,4,1,3,200,10,5,3,10,7,2,8,No,25-34,2001-4000
526,100521,48,2,1,Marketing,Male,Married,No,Sales,200,41.0,8120,12,0,Travel_Rarely,Sales,2,Sales Executive,2,3,1,200,12,3,3,2,2,2,2,No,45-54,8001-12000
527,100522,27,3,1,Medical,Female,Divorced,No,Sales,200,23.0,4647,20,2,Travel_Frequently,Sales,2,Sales Executive,4,1,4,200,6,3,3,6,5,0,4,Yes,25-34,4001-6000
528,100523,37,10,2,Life Sciences,Male,Single,No,Research & Development,200,23.0,4680,17,0,Travel_Rarely,Research & Development,1,Research Scientist,4,3,3,200,4,2,3,1,0,0,0,No,35-44,4001-6000
529,100524,50,28,1,Medical,Male,Married,No,Research & Development,200,16.0,3221,11,3,Travel_Rarely,Research & Development,1,Laboratory Technician,3,1,3,200,20,3,3,20,8,3,8,Yes,45-54,2001-4000
530,100525,34,9,3,Medical,Female,Single,No,Research & Development,200,43.0,8621,14,0,Travel_Rarely,Research & Development,3,Healthcare Representative,2,1,2,200,9,3,4,8,7,7,7,No,25-34,8001-12000
531,100526,24,3,2,Life Sciences,Female,Single,Yes,Sales,200,23.0,4577,14,0,Travel_Rarely,Sales,2,Sales Executive,3,9,3,200,4,3,3,2,2,2,0,No,18-24,4001-6000
